word,inaugurals_pretrump,election2016_speeches_trump,"arctan2(inaugurals_pretrump,election2016_speeches_trump)"
boost,1.53955106691e-05,3.74695559858e-05,-0.503626540018
--the,1.53955106691e-05,3.74695559858e-05,-0.503626540018
shockingly,1.53955106691e-05,3.74695559858e-05,-0.503626540018
scholarship,1.53955106691e-05,3.74695559858e-05,-0.503626540018
gutted,1.53955106691e-05,3.74695559858e-05,-0.503626540018
80,1.53955106691e-05,3.74695559858e-05,-0.503626540018
cia,1.53955106691e-05,3.74695559858e-05,-0.503626540018
somali,1.53955106691e-05,3.74695559858e-05,-0.503626540018
admire,1.53955106691e-05,3.74695559858e-05,-0.503626540018
advisor,1.53955106691e-05,3.74695559858e-05,-0.503626540018
schedule,3.07910213382e-05,7.49391119715e-05,-0.503626540018
friday,1.53955106691e-05,3.74695559858e-05,-0.503626540018
firewall,1.53955106691e-05,3.74695559858e-05,-0.503626540018
rigging,1.53955106691e-05,3.74695559858e-05,-0.503626540018
haitian,1.53955106691e-05,3.74695559858e-05,-0.503626540018
solar,1.53955106691e-05,3.74695559858e-05,-0.503626540018
accounting,1.53955106691e-05,3.74695559858e-05,-0.503626540018
biometric,1.53955106691e-05,3.74695559858e-05,-0.503626540018
secular,1.53955106691e-05,3.74695559858e-05,-0.503626540018
handedly,1.53955106691e-05,3.74695559858e-05,-0.503626540018
huma,1.53955106691e-05,3.74695559858e-05,-0.503626540018
building,0.000107768574684,0.0002622868919,-0.503626540018
shocking,1.53955106691e-05,3.74695559858e-05,-0.503626540018
barron,1.53955106691e-05,3.74695559858e-05,-0.503626540018
borrower,1.53955106691e-05,3.74695559858e-05,-0.503626540018
steve,1.53955106691e-05,3.74695559858e-05,-0.503626540018
graft,1.53955106691e-05,3.74695559858e-05,-0.503626540018
borrowing,1.53955106691e-05,3.74695559858e-05,-0.503626540018
censor,1.53955106691e-05,3.74695559858e-05,-0.503626540018
64-year,1.53955106691e-05,3.74695559858e-05,-0.503626540018
versus,1.53955106691e-05,3.74695559858e-05,-0.503626540018
bestselling,1.53955106691e-05,3.74695559858e-05,-0.503626540018
72,1.53955106691e-05,3.74695559858e-05,-0.503626540018
550,1.53955106691e-05,3.74695559858e-05,-0.503626540018
chadwick,1.53955106691e-05,3.74695559858e-05,-0.503626540018
84,1.53955106691e-05,3.74695559858e-05,-0.503626540018
horrific,1.53955106691e-05,3.74695559858e-05,-0.503626540018
bleachbit,1.53955106691e-05,3.74695559858e-05,-0.503626540018
girl,6.15820426764e-05,0.000149878223943,-0.503626540018
5th,1.53955106691e-05,3.74695559858e-05,-0.503626540018
extremism,1.53955106691e-05,3.74695559858e-05,-0.503626540018
fentanyl,1.53955106691e-05,3.74695559858e-05,-0.503626540018
ferguson,1.53955106691e-05,3.74695559858e-05,-0.503626540018
financial,0.000200141638698,0.000487104227815,-0.503626540018
1.1,1.53955106691e-05,3.74695559858e-05,-0.503626540018
bangladesh,1.53955106691e-05,3.74695559858e-05,-0.503626540018
stab,1.53955106691e-05,3.74695559858e-05,-0.503626540018
"740,000",1.53955106691e-05,3.74695559858e-05,-0.503626540018
glass,1.53955106691e-05,3.74695559858e-05,-0.503626540018
harvard,1.53955106691e-05,3.74695559858e-05,-0.503626540018
gentlemen,1.53955106691e-05,3.74695559858e-05,-0.503626540018
farfetched,1.53955106691e-05,3.74695559858e-05,-0.503626540018
flush,1.53955106691e-05,3.74695559858e-05,-0.503626540018
carnage,1.53955106691e-05,3.74695559858e-05,-0.503626540018
fun,1.53955106691e-05,3.74695559858e-05,-0.503626540018
spur,1.53955106691e-05,3.74695559858e-05,-0.503626540018
scare,1.53955106691e-05,3.74695559858e-05,-0.503626540018
"64,000",1.53955106691e-05,3.74695559858e-05,-0.503626540018
hezbollah,1.53955106691e-05,3.74695559858e-05,-0.503626540018
"110,000",1.53955106691e-05,3.74695559858e-05,-0.503626540018
sample,1.53955106691e-05,3.74695559858e-05,-0.503626540018
bedrock,1.53955106691e-05,3.74695559858e-05,-0.503626540018
fundamentalist,1.53955106691e-05,3.74695559858e-05,-0.503626540018
gm,1.53955106691e-05,3.74695559858e-05,-0.503626540018
battery,1.53955106691e-05,3.74695559858e-05,-0.503626540018
bring,0.00103149921483,0.00249797039905,-0.501390224783
cost,0.000461865320073,0.00109910697558,-0.493487617125
ally,0.000230932660036,0.000549553487791,-0.493487617125
victory,0.000215537149367,0.000512083931805,-0.492748383827
expand,0.000184746128029,0.000437144819834,-0.49089133604
country,0.00529605567017,0.0124523824393,-0.487993929448
appoint,0.000261723681375,0.000612002747767,-0.485466005851
review,0.000123164085353,0.000287266595891,-0.484289190082
forget,0.000323305724051,0.000749391119715,-0.481409931924
clean,9.23730640145e-05,0.000212327483919,-0.477523392218
statement,9.23730640145e-05,0.000212327483919,-0.477523392218
compete,7.69775533454e-05,0.000174857927934,-0.471989059185
reckless,7.69775533454e-05,0.000174857927934,-0.471989059185
reform,0.000585029405425,0.0013239243115,-0.470218360831
america,0.00310989315516,0.00701929682133,-0.468984569638
sentence,6.15820426764e-05,0.000137388371948,-0.463477530704
withdraw,6.15820426764e-05,0.000137388371948,-0.463477530704
fourth,6.15820426764e-05,0.000137388371948,-0.463477530704
education,0.00050805185208,0.00112408667957,-0.459522817869
nuclear,0.00016935061736,0.000374695559858,-0.459522817869
warfare,0.000107768574684,0.00023730718791,-0.457238306162
destroy,0.000461865320073,0.00101167801162,-0.454704319384
instruct,4.61865320073e-05,9.9918815962e-05,-0.448704535665
politics,0.000184746128029,0.000399675263848,-0.448704535665
critical,4.61865320073e-05,9.9918815962e-05,-0.448704535665
dr.,4.61865320073e-05,9.9918815962e-05,-0.448704535665
better,0.000230932660036,0.00049959407981,-0.448704535665
document,9.23730640145e-05,0.000199837631924,-0.448704535665
publish,4.61865320073e-05,9.9918815962e-05,-0.448704535665
tragic,4.61865320073e-05,9.9918815962e-05,-0.448704535665
possibly,4.61865320073e-05,9.9918815962e-05,-0.448704535665
movement,0.000184746128029,0.000399675263848,-0.448704535665
stay,9.23730640145e-05,0.000199837631924,-0.448704535665
humiliation,4.61865320073e-05,9.9918815962e-05,-0.448704535665
fantastic,4.61865320073e-05,9.9918815962e-05,-0.448704535665
instead,0.00033870123472,0.000724411415725,-0.443141921626
unnecessary,0.00016935061736,0.000362205707862,-0.443141921626
reduction,0.000123164085353,0.0002622868919,-0.441028779907
information,0.000200141638698,0.000424654967839,-0.439228992886
magnificent,7.69775533454e-05,0.000162368075938,-0.436326704671
louisiana,7.69775533454e-05,0.000162368075938,-0.436326704671
know,0.00238630415371,0.0050084306501,-0.433870814763
mission,0.000184746128029,0.000387185411853,-0.433150747435
goal,0.000292514702713,0.000612002747767,-0.43230941194
cold,0.000107768574684,0.000224817335915,-0.430861690361
throw,0.000107768574684,0.000224817335915,-0.430861690361
play,0.000215537149367,0.000449634671829,-0.430861690361
saving,0.000107768574684,0.000224817335915,-0.430861690361
lack,0.000107768574684,0.000224817335915,-0.430861690361
establishment,0.000323305724051,0.000674452007744,-0.430861690361
thing,0.0012932228962,0.00266033847499,-0.423889992045
create,0.000754380022785,0.00153625179542,-0.418812131297
piece,3.07910213382e-05,6.24492599763e-05,-0.416757617483
bully,3.07910213382e-05,6.24492599763e-05,-0.416757617483
handful,3.07910213382e-05,6.24492599763e-05,-0.416757617483
owner,3.07910213382e-05,6.24492599763e-05,-0.416757617483
export,6.15820426764e-05,0.000124898519953,-0.416757617483
elite,3.07910213382e-05,6.24492599763e-05,-0.416757617483
topple,3.07910213382e-05,6.24492599763e-05,-0.416757617483
appearance,3.07910213382e-05,6.24492599763e-05,-0.416757617483
harvest,6.15820426764e-05,0.000124898519953,-0.416757617483
resign,3.07910213382e-05,6.24492599763e-05,-0.416757617483
uphold,0.000184746128029,0.000374695559858,-0.416757617483
fiat,3.07910213382e-05,6.24492599763e-05,-0.416757617483
outlet,3.07910213382e-05,6.24492599763e-05,-0.416757617483
restaurant,3.07910213382e-05,6.24492599763e-05,-0.416757617483
cynic,3.07910213382e-05,6.24492599763e-05,-0.416757617483
ii,3.07910213382e-05,6.24492599763e-05,-0.416757617483
red,3.07910213382e-05,6.24492599763e-05,-0.416757617483
pre,3.07910213382e-05,6.24492599763e-05,-0.416757617483
unquestioned,3.07910213382e-05,6.24492599763e-05,-0.416757617483
withdrawal,3.07910213382e-05,6.24492599763e-05,-0.416757617483
ruling,3.07910213382e-05,6.24492599763e-05,-0.416757617483
obsolete,3.07910213382e-05,6.24492599763e-05,-0.416757617483
detain,3.07910213382e-05,6.24492599763e-05,-0.416757617483
blue,3.07910213382e-05,6.24492599763e-05,-0.416757617483
unfairly,3.07910213382e-05,6.24492599763e-05,-0.416757617483
regional,3.07910213382e-05,6.24492599763e-05,-0.416757617483
pretend,3.07910213382e-05,6.24492599763e-05,-0.416757617483
valid,3.07910213382e-05,6.24492599763e-05,-0.416757617483
cheap,3.07910213382e-05,6.24492599763e-05,-0.416757617483
wounded,3.07910213382e-05,6.24492599763e-05,-0.416757617483
disgraceful,3.07910213382e-05,6.24492599763e-05,-0.416757617483
abraham,6.15820426764e-05,0.000124898519953,-0.416757617483
devastating,3.07910213382e-05,6.24492599763e-05,-0.416757617483
obstruct,3.07910213382e-05,6.24492599763e-05,-0.416757617483
prime,3.07910213382e-05,6.24492599763e-05,-0.416757617483
biden,3.07910213382e-05,6.24492599763e-05,-0.416757617483
obviously,3.07910213382e-05,6.24492599763e-05,-0.416757617483
jews,3.07910213382e-05,6.24492599763e-05,-0.416757617483
devastation,3.07910213382e-05,6.24492599763e-05,-0.416757617483
reliable,3.07910213382e-05,6.24492599763e-05,-0.416757617483
devastate,3.07910213382e-05,6.24492599763e-05,-0.416757617483
end,0.00103149921483,0.00208580528321,-0.415246499833
build,0.000754380022785,0.00151127209143,-0.410512365468
real,0.000369492256058,0.00073690126772,-0.408226547403
leave,0.000877544108138,0.00174857927934,-0.407771130985
employee,0.00016935061736,0.000337226003872,-0.407439510797
month,0.000138559596022,0.000274776743896,-0.405331232953
wound,0.000107768574684,0.000212327483919,-0.401990017061
charter,0.000107768574684,0.000212327483919,-0.401990017061
highly,0.000107768574684,0.000212327483919,-0.401990017061
investment,0.000107768574684,0.000212327483919,-0.401990017061
treatment,0.000107768574684,0.000212327483919,-0.401990017061
road,0.000307910213382,0.000599512895772,-0.395887517058
silence,7.69775533454e-05,0.000149878223943,-0.395887517058
warn,7.69775533454e-05,0.000149878223943,-0.395887517058
likewise,7.69775533454e-05,0.000149878223943,-0.395887517058
chapter,7.69775533454e-05,0.000149878223943,-0.395887517058
mother,0.000153955106691,0.000299756447886,-0.395887517058
represent,0.000200141638698,0.000387185411853,-0.392553674061
recently,0.000123164085353,0.00023730718791,-0.390452725682
story,0.000246328170705,0.00047461437582,-0.390452725682
read,0.00016935061736,0.000324736151877,-0.387952443998
solution,0.000215537149367,0.000412165115843,-0.38651520592
program,0.000307910213382,0.000587023043777,-0.384927045026
subsidy,4.61865320073e-05,8.74289639668e-05,-0.381191736174
seven,4.61865320073e-05,8.74289639668e-05,-0.381191736174
label,4.61865320073e-05,8.74289639668e-05,-0.381191736174
page,9.23730640145e-05,0.000174857927934,-0.381191736174
spread,0.000184746128029,0.000349715855867,-0.381191736174
exactly,4.61865320073e-05,8.74289639668e-05,-0.381191736174
gross,4.61865320073e-05,8.74289639668e-05,-0.381191736174
bitter,0.000138559596022,0.0002622868919,-0.381191736174
incentive,4.61865320073e-05,8.74289639668e-05,-0.381191736174
nomination,4.61865320073e-05,8.74289639668e-05,-0.381191736174
emphasize,4.61865320073e-05,8.74289639668e-05,-0.381191736174
christians,4.61865320073e-05,8.74289639668e-05,-0.381191736174
request,4.61865320073e-05,8.74289639668e-05,-0.381191736174
watch,0.000246328170705,0.000462124523824,-0.376463528697
agreement,0.000153955106691,0.000287266595891,-0.373594616551
travel,0.000153955106691,0.000287266595891,-0.373594616551
single,0.000523447362749,0.00097420845563,-0.372236139189
hard,0.000369492256058,0.000686941859739,-0.371668509965
close,0.00033870123472,0.000624492599763,-0.367250342696
half,0.000292514702713,0.000537063635796,-0.364996290881
finally,0.000246328170705,0.000449634671829,-0.361872860924
bigotry,6.15820426764e-05,0.000112408667957,-0.361872860924
avenue,6.15820426764e-05,0.000112408667957,-0.361872860924
believer,6.15820426764e-05,0.000112408667957,-0.361872860924
root,6.15820426764e-05,0.000112408667957,-0.361872860924
proud,0.000261723681375,0.00047461437582,-0.358348551346
area,0.000200141638698,0.000362205707862,-0.357256980828
treat,0.000200141638698,0.000362205707862,-0.357256980828
small,0.000585029405425,0.0010491475676,-0.352331835029
problem,0.000738984512116,0.0013239243115,-0.351794140888
